City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Dropoff Time,Dropoff Lat,Dropoff Lng,Distance (miles),Fare Amount,Fare Currency
Natal,UberX,COMPLETED,2021-06-15 11:04:49 +0000 UTC,2021-06-15 11:08:45 +0000 UTC,-5.8423843,-35.205996999999996,2021-06-15 11:29:29 +0000 UTC,-5.787602,-35.204956,5.00,13.99,BRL
Natal,UberX,COMPLETED,2021-06-12 18:04:29 +0000 UTC,2021-06-12 18:11:07 +0000 UTC,-5.844518,-35.21048,2021-06-12 18:17:52 +0000 UTC,-5.8422327,-35.20569,1.92,6.16,BRL
Natal,UberX,COMPLETED,2021-06-12 17:13:11 +0000 UTC,2021-06-12 17:23:26 +0000 UTC,-5.8202972,-35.229336,2021-06-12 17:36:43 +0000 UTC,-5.8441814999999995,-35.210384,3.16,11.93,BRL
Natal,UberX,COMPLETED,2021-06-09 13:20:46 +0000 UTC,2021-06-09 13:25:06 +0000 UTC,-5.8422084,-35.205635,2021-06-09 13:40:30 +0000 UTC,-5.788271,-35.203304,4.69,11.91,BRL
Natal,UberX,COMPLETED,2021-06-07 13:25:02 +0000 UTC,2021-06-07 13:27:54 +0000 UTC,-5.844383,-35.21055,2021-06-07 13:34:19 +0000 UTC,-5.8422149999999995,-35.20564,1.92,6.19,BRL
Natal,UberX,COMPLETED,2021-04-24 12:29:29 +0000 UTC,2021-04-24 12:30:54 +0000 UTC,-5.844474,-35.210564,2021-04-24 12:37:28 +0000 UTC,-5.8422422,-35.205723,1.92,6.28,BRL
Natal,UberX,COMPLETED,2021-04-14 12:31:54 +0000 UTC,2021-04-14 12:35:17 +0000 UTC,-5.844499,-35.210518,2021-04-14 12:40:54 +0000 UTC,-5.8422217,-35.20565,1.73,6.2,BRL
Natal,UberX,COMPLETED,2021-04-14 11:17:25 +0000 UTC,2021-04-14 11:20:10 +0000 UTC,-5.8422213,-35.205627,2021-04-14 11:26:02 +0000 UTC,-5.8444037,-35.210552,1.71,6.47,BRL
Natal,UberX,COMPLETED,2021-04-03 13:22:09 +0000 UTC,2021-04-03 13:25:36 +0000 UTC,-5.8445067,-35.210487,2021-04-03 13:31:05 +0000 UTC,-5.8421717,-35.205647,1.62,6.28,BRL
Natal,UberX,COMPLETED,2021-04-03 12:23:08 +0000 UTC,2021-04-03 12:24:35 +0000 UTC,-5.8421674,-35.20571,2021-04-03 12:29:32 +0000 UTC,-5.8444934,-35.21057,1.54,5.42,BRL
Natal,UberX,COMPLETED,2021-03-13 14:17:28 +0000 UTC,2021-03-13 14:20:19 +0000 UTC,-5.8445954,-35.210495,2021-03-13 14:27:46 +0000 UTC,-5.842238,-35.205696,1.74,6.23,BRL
Natal,UberX,COMPLETED,2021-03-05 19:19:51 +0000 UTC,2021-03-05 19:24:24 +0000 UTC,-5.8444643,-35.210155,2021-03-05 19:32:38 +0000 UTC,-5.8422117,-35.205658,1.90,6.42,BRL
Natal,UberX,COMPLETED,2021-02-13 14:32:22 +0000 UTC,2021-02-13 14:36:27 +0000 UTC,-5.84452,-35.21052,2021-02-13 14:42:57 +0000 UTC,-5.8422236,-35.205612,1.94,6.09,BRL
Natal,UberX,COMPLETED,2021-02-06 23:37:49 +0000 UTC,2021-02-06 23:49:10 +0000 UTC,-5.8465,-35.24115,2021-02-07 00:05:22 +0000 UTC,-5.842153,-35.205696,5.18,14.67,BRL
Natal,UberX,COMPLETED,2021-02-03 19:09:17 +0000 UTC,2021-02-03 19:12:11 +0000 UTC,-5.8449554,-35.21037,2021-02-03 19:21:36 +0000 UTC,-5.842238,-35.205658,1.96,6.13,BRL
Natal,UberX,COMPLETED,2021-01-17 13:52:10 +0000 UTC,2021-01-17 13:59:51 +0000 UTC,-5.849545,-35.20611,2021-01-17 14:03:20 +0000 UTC,-5.842204,-35.20568,0.79,5.52,BRL
Natal,UberX,COMPLETED,2021-01-09 17:44:09 +0000 UTC,2021-01-09 17:45:31 +0000 UTC,-5.81786,-35.218037,2021-01-09 17:54:14 +0000 UTC,-5.842504,-35.205685,2.86,9.65,BRL
Natal,UberX,COMPLETED,2021-01-08 13:06:48 +0000 UTC,2021-01-08 13:10:48 +0000 UTC,-5.8200483,-35.234783,2021-01-08 13:22:50 +0000 UTC,-5.8422184,-35.2057,4.12,17.67,BRL
Natal,UberX,COMPLETED,2020-12-22 08:10:31 +0000 UTC,2020-12-22 08:15:59 +0000 UTC,-5.8421903,-35.20569,2020-12-22 08:25:44 +0000 UTC,-5.819994,-35.234848,3.55,10.5,BRL
Natal,UberX,CANCELED,2020-12-19 18:27:47 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,-5.8567944,-35.19867,1970-01-01 00:00:00 +0000 UTC,-5.8565672636032104,-35.19812309741974,0.00,0,BRL
Natal,UberX,COMPLETED,2020-12-06 14:05:33 +0000 UTC,2020-12-06 14:08:12 +0000 UTC,-5.8495417,-35.206234,2020-12-06 14:11:43 +0000 UTC,-5.84222,-35.205696,0.70,6.29,BRL
